Population,Latitude,Longitude,gmis1000,gmis30,Distance_to_core,Distance_to_cg,Num_families,Time_to_germination,Days_to_flower,Num_Inf,Reprod_biomass,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_petiole_lgth,Avg_peducle_lgth,Avg_num_flwrs,Avg_leaf_wdth,Avg_leaf_lgth,Avg_stolon_thick,Avg_seeds_per_flower,Avg_seeds_per_inf,freqHCN,sex_asex,Time_to_germination_C,Days_to_flower_C,Num_Inf_C,Reprod_biomass_C,Veget_biomass_C,Avg_bnr_wdth_C,Avg_bnr_lgth_C,Avg_petiole_lgth_C,Avg_peducle_lgth_C,Avg_num_flwrs_C,Avg_leaf_wdth_C,Avg_leaf_lgth_C,Avg_stolon_thick_C,freqHCN_C
1,43.651374,-79.405525,77,85,2.09634395245024,23.59696534330296,8,8.270833333333334,64.4375,9.416666666666666,0.6857562500000002,3.7187958333333335,3.475347222222222,5.823784722222222,432.77777777777777,90.46453125,34.354166666666664,10.231354166666666,11.728020833333334,1.2088541666666668,2.905235616798579,131.75,0.14583333333333331,0.18440276926558893,1.6888915394402035,1.0367312986075847,0.4448654443294396,0.4190118569788145,1.0192048755272132,0.974914900497048,0.9385640496037058,0.970688072498584,0.8821880905836844,0.7452259629966635,0.9265268405807798,0.9300394379764667,0.8769519194707847,0.5782312925170068
2,43.663683,-79.411443,66,79,2.643358115446909,23.877854402711133,7,5.930952380952381,57.88095238095238,21.895238095238096,1.9950604761904764,4.741697619047619,3.63843253968254,6.580912698412699,485.8968253968254,95.25365079365079,49.411904761904765,11.626285714285714,13.940246031746032,1.5135238095238095,2.3079371477272588,121.32142857142857,0.17857142857142858,0.4207481447522563,1.211091421301345,0.9312433742238376,1.0343824591791468,1.2190249741268988,1.2995500555020463,1.020664086370536,1.0605831717546423,1.0898301093449625,0.9288904187493465,1.0718651588023744,1.0528484885843896,1.1054702893918589,1.0979716549156169,0.7080383173677635
3,43.683698,-79.421095,41,77,4.492586326551475,24.509794771746183,7,6.921428571428572,63.01190476190476,22.061904761904763,1.5391033333333335,3.0565857142857147,3.486011904761905,6.2208531746031746,332.24603174603175,94.94801587301588,45.791666666666664,10.319015873015873,12.008777777777778,1.2282976190476191,1.9288067366988801,93.91666666666667,0.19047619047619047,0.5035367816253118,1.4133451472191931,1.0137949773275963,1.0422561838575441,0.9404253271950248,0.8377139273264297,0.9779065894570821,1.002555799369885,0.7452029117734866,0.9259099413918118,0.9933333333333333,0.9344652739983488,0.9523036404817148,0.8910569896742748,0.7552408718589477
4,43.704239,-79.4265,42,56,6.515807621583965,25.638252065753385,8,5.427083333333333,65.10416666666667,19.875,1.4201937500000004,4.200181250000001,3.573402777777778,6.250208333333333,389.1666666666667,86.26815972222222,39.380208333333336,10.826805555555556,12.365104166666667,1.2838541666666667,2.3755796463563814,110,0.15625,0.3381267772670525,1.108202131043257,1.0474572609598132,0.9389416678988614,0.8677690075113514,1.1511374649091344,1.0024217411305145,1.0072866913874774,0.8728716236011016,0.8412660967998498,0.8542531088868668,0.9804494870926248,0.9805605475223732,0.9313599661764258,0.619533527696793
5,43.722385,-79.426597,53,25,8.257243194042573,27.02718186329092,8,4.385416666666667,68.89583333333333,18.385416666666668,1.3275833333333336,4.681660416666667,3.6304861111111113,6.162604166666666,368.47222222222223,104.459375,42.734375,11.095173611111111,12.713506944444445,1.3875,2.8281647815196287,142.21875,0.10416666666666666,0.283571044283167,0.8954953880407125,1.1084611718381128,0.8685702535856867,0.8111820457985245,1.283095748214939,1.0184349302245015,0.9931683602075689,0.8264555379777738,1.018662400628037,0.9270131938125568,1.004752253136712,1.0081891072119102,1.0065488640543605,0.413022351797862
6,43.713711000000004,-79.466545,56,43,9.440961875831535,24.136939503015775,8,5.458333333333333,56.547916666666666,26.389583333333334,1.963454166666667,3.45701875,3.5895555555555556,6.211177083333333,408.9236111111111,97.76896527777778,49.11354166666666,10.4608125,11.790888888888889,1.280875,2.6080306691974466,124.66145833333333,0.041666666666666664,0.5679616769989075,1.1145833333333333,0.9097962378954308,1.2467058812657104,1.1997128374226127,0.9474600173548092,1.0069529671442146,1.0009963956762864,0.9171849670904865,0.9534191533960479,1.065392932969366,0.9473060357063776,0.9350249143741024,0.9291987576545072,0.1652089407191448
7,43.70646,-79.486262,31,48,10.19629667047448,22.500341511520208,8,5.760416666666667,63.885416666666664,25.541666666666664,1.855591666666667,4.433827083333334,3.759809027777778,6.612065972222222,583.125,118.11291666666666,45.552083333333336,11.8909375,13.499409722222222,1.4179166666666667,2.538308629983984,114.25,0.4895833333333333,0.4185079011407094,1.1762682888040712,1.0278488610346455,1.2066483069643648,1.1338065238842712,1.2151724329881703,1.0547129854438166,1.0656038488949748,1.3079056073123572,1.151808415825252,0.9881361844100698,1.0768147181643208,1.0705116924234892,1.0286143496627593,1.9412050534499514
8,43.701041,-79.511142,44,55,11.648537370864588,20.803590289148442,8,5.214583333333334,63.95625,30.760416666666668,2.537466666666667,3.687747916666667,3.66553125,6.656236111111111,439.61805555555554,111.18816666666666,53.28958333333333,11.865694444444443,13.235118055555555,1.44215625,2.3490326457932835,121.63541666666667,0.15625,0.6880802929068611,1.064809955470738,1.0289884945345698,1.453194310956676,1.550446853414522,1.010695618913019,1.0282658984438207,1.072722330501777,0.9860303021425363,1.0842799392404647,1.1559814983318168,1.0745287677290702,1.0495531968152692,1.0461987280910963,0.619533527696793
9,43.693306,-79.538379,32,6,13.369577165605406,18.865829319561513,8,6.0625,65.5,16.458333333333332,1.338654166666667,4.4532750000000005,3.827638888888889,6.426597222222223,545.9722222222223,102.19368055555556,45.833333333333336,12.018888888888888,13.408541666666666,1.4041666666666668,1.8707118753046026,102.08333333333333,0,0.30059993300810456,1.2379532442748091,1.053825801106449,0.7775303119917196,0.8179465637060215,1.2205024947538217,1.0737408229712517,1.035713612669259,1.224574715337591,0.996567899853287,0.9942371853199878,1.0884016883897654,1.063305798392443,1.0186395411000584,0
10,43.686228,-79.561726,35,47,14.971521867180057,17.24331936210088,8,4.958333333333333,64.64583333333333,25.5625,1.8838916666666667,4.097,3.8066319444444443,6.530625000000001,424.65277777777777,100.6025,57.125,10.633402777777778,12.245347222222222,1.3705208333333334,2.7273436197729843,168.42857142857142,0.08333333333333333,0.4598222276462452,1.012484096692112,1.0400831618426563,1.2076325225491644,1.1510984341694497,1.1228587322827375,1.0678478914616032,1.052478781204735,0.9524643073377472,0.981051094353016,1.2391810737033666,0.9629353964126448,0.9710637464092365,0.9942314868140555,0.3304178814382896
11,43.663863,-79.585551,34,37,16.533738844636368,14.156643177241694,8,4.927083333333333,64.13541666666667,20.270833333333332,1.3777875000000002,3.3514145833333338,3.4635590277777775,6.027204861111111,373.71527777777777,94.76090277777777,44.401041666666664,10.140173611111111,11.726527777777777,1.3004166666666666,2.7826398580764877,147.5595238095238,0.5208333333333334,0.41110625550529345,1.0061028944020356,1.0318710969167313,0.9576417640100546,0.8418578742770457,0.9185172395400404,0.9716080405837825,0.9713473406134139,0.8382153180601941,0.9240852600285145,0.9631672732787382,0.9182697486372201,0.9299210377306376,0.9433750764905882,2.06511175898931
12,43.652785,-79.610406,62,70,18.51599892153233,12.238307389101594,8,5.260416666666667,65.13541666666667,17.572916666666668,1.3336031250000002,3.48878125,3.3530034722222224,5.8771875,480.24305555555554,97.70559027777777,49.864583333333336,12.04861111111111,13.274513888888889,1.48390625,2.7317362547274944,125.32142857142857,0.34375,0.3822547272059548,1.07416905216285,1.047960040445074,0.8301858457785006,0.8148602683227459,0.9561651187666057,0.9405946621925086,0.9471704678972845,1.0771491279467198,0.952801135820892,1.081684865028814,1.091093261391931,1.0526773112087062,1.0764858740905698,1.3629737609329446
13,43.641963,-79.631233,84,92,20.25081019161363,10.596965947834507,8,5.260416666666667,57.8125,20.177083333333332,1.4528208333333337,3.164097916666667,3.4150347222222224,5.932899305555556,406.5625,90.94246527777779,34.630208333333336,10.860625,12.236909722222222,1.3619270833333332,2.718619901388049,139.63888888888889,0.09523809523809523,0.4591579880258131,1.07416905216285,0.9301420477323141,0.9532127938784563,0.887704859026088,0.8671796376682411,0.9579958558156276,0.9561490102588236,0.9118891720864826,0.8868487868981889,0.7512139824082499,0.9835120946908835,0.9703946473455972,0.9879972314623675,0.3776204359294738
14,43.627471,-79.65002,66,52,21.936116076110327,8.739887353969236,8,4.25,60.041666666666664,24.625,1.953216666666667,3.2834000000000003,3.5388888888888888,6.1229861111111115,475.4166666666667,121.4161111111111,48.270833333333336,10.80888888888889,12.178055555555556,1.3127083333333334,2.3982990350475286,109.72619047619048,0.29166666666666663,0.5948762461675906,0.8678435114503817,0.9660069843475781,1.1633428212331804,1.1934575041524886,0.8998765832504614,0.9927398007659021,0.9867834946204601,1.0663238999238296,1.1840203640828304,1.047112526539278,0.9788269968249642,0.9657274748646558,0.9522919508117905,1.1564625850340136
15,43.616903,-79.669317,68,36,23.663587997705708,7.526631296860096,7,3.75,61.523809523809526,20.488095238095237,2.0259309523809526,3.9404404761904765,3.596388888888889,6.2762698412698414,425.515873015873,112.25738095238096,56.17857142857143,10.920595238095238,12.135198412698413,1.3416071428571428,2.9010420671144383,162.91071428571428,0.11904761904761904,0.5141381946059934,0.7657442748091603,0.9898530970770861,0.9679057265372509,1.2378875007963848,1.0799506950770867,1.0088698744518159,1.011486777000933,0.9544001651753453,1.0947066567186376,1.2186507214350708,0.9889428553043986,0.9623288764461702,0.9732563211892419,0.4720255449118423
16,43.61094,-79.688052,74,67,25.27159407214257,7.146088704825881,8,3.96875,65.91666666666667,16.239583333333332,1.386860416666667,3.8226708333333335,3.618107638888889,6.204184027777778,498.50694444444446,116.39184027777777,52.114583333333336,12.346215277777778,14.495729166666667,1.53,2.8692664703086312,162.40625,0.9166666666666666,0.36279880668075665,0.8104126908396947,1.0605295275765918,0.7671960483513234,0.8474016220164414,1.0476737431903496,1.014962483806006,0.9998693913561779,1.1181136598894552,1.135024897773667,1.1304928723081589,1.1180435793844103,1.1495204518147166,1.1099241527950785,3.6345966958211857
17,43.58858,-79.69878,51,60,26.712604213541383,5.246219840707324,8,3.5833333333333335,64.14583333333333,22,1.7666416666666669,3.3783000000000003,3.5859722222222223,6.0663888888888895,507.22222222222223,107.25604166666668,48.614583333333336,10.854027777777778,12.856388888888889,1.4054166666666668,2.508570233472307,134.41666666666666,0.29166666666666663,0.5229380654964528,0.7317111959287532,1.0320386900784848,1.0393316575484253,1.079456155691104,0.9258856859337983,1.005947759653643,0.9776622580674474,1.1376613738012928,1.0459348132805448,1.054569305429178,0.9829146661039542,1.019519735388355,1.0195463418784856,1.1564625850340136
18,43.565262,-79.700181,52,67,27.663536159879555,3.5108454345102134,5,7,55,24.35,2.0422633333333335,2.4751000000000003,3.383861111111111,6.128833333333334,396.1111111111111,107.10777777777778,45.86666666666667,9.915222222222221,11.569222222222223,1.2563333333333333,2.3666646042480743,118.35,0.19999999999999998,0.8251235640310829,1.4293893129770994,0.8848918940588503,1.1503511755138252,1.247866937763591,0.6783469973817435,0.9492509402629625,0.9877258358692499,0.8884474912599363,1.044488979922055,0.9949602669093115,0.8978986915673246,0.9174466081096012,0.9113952357047169,0.793002915451895
19,43.546982,-79.720703,62,65,29.97539430161768,4.697320808697932,8,5.458333333333333,61.479166666666664,19.895833333333332,1.429954166666667,3.3331708333333334,3.384548611111111,6.168506944444444,443.47222222222223,96.12934027777777,44.708333333333336,9.924166666666666,11.487777777777778,1.3582291666666668,2.1567255636619254,110.78571428571429,0.16666666666666666,0.42900716409924994,1.1145833333333333,0.9891348406695708,0.939925883483661,0.8737328325765797,0.9135172019522728,0.9494437998396419,0.9941196548173923,0.9946749086931895,0.9374299294644501,0.9698331816803154,0.8987086789567613,0.9109880123743234,0.9853146124928532,0.6608357628765792
