Landmark,X,Y
1,1964,2328
2,683.5,1475.5
3,627.5,1055.5
4,1523.5,619.5
5,3535.5,1195.5
6,4247.5,1435.5
7,2491.5,1967.5
8,2511.5,1667.5
9,3291.5,1631.5
10,3279.5,1511.5
11,3759.5,1551.5
12,3863.5,1843.5
