Landmark,X,Y
1,2516,2260
2,1135.5,1851.5
3,971.5,1507.5
4,1659.5,847.5
5,3587.5,835.5
6,4235.5,843.5
7,2851.5,1807.5
8,2755.5,1531.5
9,3447.5,1275.5
10,3415.5,1167.5
11,3847.5,1079.5
12,4015.5,1303.5
