Landmark,X,Y
1,2212,2668
2,907.5,2051.5
3,759.5,1679.5
4,1479.5,1095.5
5,3571.5,1311.5
6,4311.5,1387.5
7,2683.5,2235.5
8,2623.5,1931.5
9,3391.5,1751.5
10,3343.5,1635.5
11,3831.5,1587.5
12,3987.5,1859.5
