Landmark,X,Y
1,1764,2400
2,303.5,1663.5
3,131.5,1159.5
4,939.5,523.5
5,3403.5,911.5
6,4111.5,1067.5
7,2343.5,1883.5
8,2339.5,1539.5
9,3175.5,1403.5
10,3139.5,1255.5
11,3631.5,1239.5
12,3763.5,1543.5
