Landmark,X,Y
1,1708,2596
2,419.5,1371.5
3,407.5,919.5
4,1455.5,559.5
5,3651.5,1663.5
6,4375.5,2027.5
7,2331.5,2287.5
8,2387.5,1919.5
9,3231.5,2027.5
10,3235.5,1895.5
11,3791.5,2035.5
12,3831.5,2395.5
