Landmark,X,Y
1,2072,2336
2,975.5,1483.5
3,939.5,1071.5
4,1763.5,711.5
5,3547.5,1427.5
6,4147.5,1635.5
7,2551.5,2031.5
8,2595.5,1759.5
9,3243.5,1763.5
10,3243.5,1659.5
11,3667.5,1719.5
12,3811.5,1991.5
