Landmark,X,Y
1,2220,2516
2,995.5,2079.5
3,803.5,1743.5
4,1315.5,1115.5
5,3359.5,1087.5
6,3939.5,1079.5
7,2615.5,2035.5
8,2575.5,1767.5
9,3251.5,1531.5
10,3211.5,1427.5
11,3615.5,1347.5
12,3787.5,1583.5
