Landmark,X,Y
1,2008,2676
2,471.5,2243.5
3,267.5,1883.5
4,967.5,1131.5
5,3291.5,999.5
6,3979.5,1015.5
7,2395.5,2179.5
8,2327.5,1811.5
9,3095.5,1515.5
10,3051.5,1395.5
11,3531.5,1275.5
12,3791.5,1527.5
