Landmark,X,Y
1,2816,2604
2,1155.5,2339.5
3,919.5,1955.5
4,1491.5,1183.5
5,3859.5,811.5
6,4451.5,691.5
7,3147.5,2015.5
8,3023.5,1715.5
9,3675.5,1343.5
10,3619.5,1239.5
11,4135.5,1063.5
12,4355.5,1279.5
