Landmark,X,Y
1,2040,2632
2,531.5,1727.5
3,415.5,1255.5
4,1243.5,639.5
5,3823.5,1219.5
6,4663.5,1435.5
7,2519.5,2191.5
8,2547.5,1807.5
9,3475.5,1703.5
10,3463.5,1563.5
11,4071.5,1587.5
12,4287.5,1919.5
