Landmark,X,Y
1,1840,2224
2,499.5,1675.5
3,323.5,1303.5
4,1007.5,699.5
5,3031.5,827.5
6,3695.5,923.5
7,2195.5,1783.5
8,2155.5,1495.5
9,2843.5,1283.5
10,2831.5,1179.5
11,3323.5,1119.5
12,3435.5,1367.5
