Landmark,X,Y
1,1800,2676
2,411.5,1739.5
3,363.5,1327.5
4,1187.5,835.5
5,3483.5,1459.5
6,4147.5,1659.5
7,2363.5,2275.5
8,2391.5,1935.5
9,3111.5,1875.5
10,3107.5,1743.5
11,3635.5,1775.5
12,3771.5,2071.5
