Landmark,X,Y
1,2040,2384
2,803.5,1403.5
3,751.5,999.5
4,1607.5,559.5
5,3795.5,1351.5
6,4479.5,1635.5
7,2543.5,2075.5
8,2571.5,1735.5
9,3355.5,1739.5
10,3355.5,1611.5
11,3947.5,1703.5
12,4047.5,2027.5
