Landmark,X,Y
1,2096,2568
2,671.5,2003.5
3,471.5,1599.5
4,1203.5,923.5
5,3407.5,1011.5
6,4131.5,1043.5
7,2527.5,2035.5
8,2459.5,1723.5
9,3187.5,1499.5
10,3159.5,1367.5
11,3679.5,1279.5
12,3843.5,1547.5
