Landmark,X,Y
1,2268,2804
2,675.5,2379.5
3,435.5,1987.5
4,1035.5,1207.5
5,3503.5,915.5
6,4303.5,871.5
7,2659.5,2207.5
8,2583.5,1831.5
9,3355.5,1487.5
10,3275.5,1355.5
11,3835.5,1207.5
12,4095.5,1455.5
