Landmark,X,Y
1,2012,2808
2,531.5,1839.5
3,439.5,1387.5
4,1403.5,855.5
5,3779.5,1527.5
6,4499.5,1751.5
7,2563.5,2403.5
8,2599.5,2047.5
9,3419.5,1971.5
10,3411.5,1835.5
11,3943.5,1879.5
12,4103.5,2191.5
