Landmark,X,Y
1,2352,2504
2,1151.5,1791.5
3,1023.5,1391.5
4,1695.5,903.5
5,3875.5,1351.5
6,4479.5,1491.5
7,2827.5,2111.5
8,2839.5,1831.5
9,3563.5,1723.5
10,3559.5,1627.5
11,4063.5,1627.5
12,4191.5,1891.5
