Landmark,X,Y
1,1820,2308
2,499.5,1243.5
3,471.5,827.5
4,1355.5,391.5
5,3655.5,1203.5
6,4403.5,1511.5
7,2315.5,1995.5
8,2443.5,1635.5
9,3355.5,1659.5
10,3355.5,1527.5
11,3863.5,1603.5
12,3943.5,1939.5
